Media Source,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@CBSNews,Sun Jun 10 06:48:04 +0000 2018,Electric airplanes could be just over the horizon https://t.co/Tw1KSZ720y https://t.co/pvLbNE4zn6,0.0,0.0,1.0,0.0,2
@CBSNews,Sun Jun 10 06:33:03 +0000 2018,"In Maine, new voting system faces landmark test https://t.co/rI4Ewp3QOY https://t.co/u9Y2Fch5x0",0.0772,0.126,0.874,0.0,3
@CBSNews,Sun Jun 10 06:18:05 +0000 2018,Report reveals Florida stopped doing gun permit checks for more than a year https://t.co/bTRRRp3zjp https://t.co/Xhnj4sC3HK,-0.5106,0.0,0.736,0.264,4
@CBSNews,Sun Jun 10 06:03:05 +0000 2018,Audio released of trooper's traffic stop reunion with cop who helped deliver him https://t.co/qro7z4GdJO https://t.co/ULmzy1FCa8,-0.296,0.0,0.864,0.136,5
@CBSNews,Sun Jun 10 05:48:05 +0000 2018,"""He got to my heart"": How a bullied teen changed the lives of two Denver police officers https://t.co/M23CN6fLZj https://t.co/UnS3RcTbeL",-0.6249,0.0,0.806,0.194,6
@CBSNews,Sun Jun 10 05:33:05 +0000 2018,Woman recounts capturing neighborhood shooting near Hawaii lava flow https://t.co/vy6Bod1sT9 https://t.co/DBnUxKuv2f,0.0,0.0,1.0,0.0,7
@CBSNews,Sun Jun 10 05:18:04 +0000 2018,"Queen's honors for Emma Thompson, Tom Hardy, Keira Knightley https://t.co/WyxyK4mg8x https://t.co/adOL5D0dAL",0.7184,0.4,0.6,0.0,8
@CBSNews,Sun Jun 10 05:03:06 +0000 2018,"Redmond O'Neal, son of Farrah Fawcett, charged with attempted murder https://t.co/PCPxlpTqMe https://t.co/hBx3vglWVb",-0.7579,0.0,0.606,0.394,9
@CBSNews,Sun Jun 10 04:48:04 +0000 2018,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/2z0LxxYLZT https://t.co/J30hWhPozx",-0.5106,0.0,0.784,0.216,10
@CBSNews,Sun Jun 10 04:33:03 +0000 2018,"Overdue hiker, 76, found dead in Washington national park https://t.co/M2KdiA1KA9 https://t.co/Ms8Ogaxh3K",-0.6486,0.0,0.699,0.301,11
@CBSNews,Sun Jun 10 04:18:04 +0000 2018,"Doctor seen singing and dancing during surgery called ""threat to public safety"" https://t.co/oZBKbd0GOB https://t.co/2ESxFzbzpL",-0.1531,0.154,0.659,0.187,12
@CBSNews,Sun Jun 10 04:03:03 +0000 2018,"2018 FIFA World Cup: How to watch every team, every game https://t.co/DSWLQ1J2K3 https://t.co/QeZtOs5BCC",0.0,0.0,1.0,0.0,13
@CBSNews,Sun Jun 10 03:48:03 +0000 2018,First Bond Girl Eunice Gayson dies at 90 https://t.co/xYCxoXT9JL https://t.co/sk0yW26F1U,0.0,0.0,1.0,0.0,14
